BGGId,Name,Rating_2021,Rating_2025,rating_change
160069,Ticket to Ride: 10th Anniversary,7.53928,7.39077,-0.14850999999999992
314040,Pandemic Legacy: Season 0,7.5392,7.7409,0.20169999999999977
163412,Patchwork,7.53745,7.47659,-0.060859999999999914
144733,Russian Railroads,7.53008,7.46662,-0.06346000000000007
42,Tigris & Euphrates,7.52665,7.50866,-0.017990000000000173
203993,Lorenzo il Magnifico,7.52596,7.49545,-0.03051000000000048
281259,The Isle of Cats,7.52347,7.38479,-0.13867999999999991
102680,Trajan,7.51458,7.47263,-0.04194999999999993
225694,Decrypto,7.51227,7.54501,0.032740000000000435
178900,Codenames,7.51089,7.43414,-0.07674999999999965
132531,Roll for the Galaxy,7.50585,7.41029,-0.09555999999999987
155821,Inis,7.50439,7.53299,0.02859999999999996
36218,Dominion,7.49999,7.47519,-0.02480000000000082
30549,Pandemic,7.48919,7.41069,-0.07850000000000001
233371,Clank! In! Space!: A Deck-Building Adventure,7.4878,7.43743,-0.050370000000000026
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,7.48654,7.37346,-0.11308000000000007
172287,Champions of Midgard,7.48569,7.41959,-0.0660999999999996
196340,Yokohama,7.48552,7.44471,-0.04081000000000046
198928,Pandemic: Iberia,7.48276,7.4375,-0.045259999999999856
218417,Aeon's End: War Eternal,7.47464,7.46949,-0.005149999999999544
127023,Kemet,7.47294,7.37643,-0.09651000000000032
175155,Forbidden Stars,7.47181,7.44045,-0.03135999999999939
263918,Cartographers,7.46932,7.39822,-0.0710999999999995
175640,Vinhos Deluxe Edition,7.46873,7.45613,-0.012599999999999945
266524,PARKS,7.46285,7.40945,-0.05340000000000078
163068,Trickerion: Legends of Illusion,7.45696,7.53446,0.07750000000000057
262712,Res Arcana,7.45146,7.39818,-0.053279999999999994
161970,Alchemists,7.44969,7.39653,-0.053160000000000096
103885,Star Wars: X-Wing Miniatures Game,7.44545,7.36628,-0.0791700000000004
146652,Legendary Encounters: An Alien Deck Building Game,7.44522,7.37137,-0.0738500000000002
233398,Endeavor: Age of Sail,7.44506,7.37158,-0.07347999999999999
147020,Star Realms,7.44277,7.40397,-0.03880000000000017
34635,Stone Age,7.44233,7.38486,-0.057470000000000354
4098,Age of Steam,7.43641,7.48881,0.05239999999999956
253344,Cthulhu: Death May Die,7.43404,7.7556,0.32155999999999985
118048,Targi,7.42916,7.40707,-0.022090000000000387
14996,Ticket to Ride: Europe,7.42517,7.39773,-0.027439999999999465
148949,Istanbul,7.42213,7.37613,-0.04600000000000026
271324,It's a Wonderful World,7.42125,7.39157,-0.02967999999999993
233867,Welcome To...,7.41991,7.35611,-0.06379999999999963
43015,Hansa Teutonica,7.41935,7.46642,0.04707000000000061
274364,Watergate,7.41932,7.39145,-0.02787000000000006
